domain,instance,solver,time(s),memory(kB),identified as unsolvable,status
MatchCellar-impossible,instance_02-cert-conv,shell-script,0.06,16732,true,okay,
MatchCellar-impossible,instance_02-muntac-cert-check,muntac,0.03,26616,true,okay,
MatchCellar-impossible,instance_02,tfd,0.05,15868,true,okay,
MatchCellar-impossible,instance_02,OPTIC,0.01,13744,true,okay,
MatchCellar-impossible,instance_02-ground,POPF,0.01,12332,true,okay,
MatchCellar-impossible,instance_03,tck-aLUcovreach,0.01,14828,true,okay,
MatchCellar-impossible,instance_03,tck-covreach,0.01,14648,true,okay,
MatchCellar-impossible,instance_03-ground,TAMER-ctp,0.03,5376,true,okay,
MatchCellar-impossible,instance_03-ground,nuXmv,0.44,64048,true,okay,
MatchCellar-impossible,instance_03-ground,UPPAAL,0.02,20524,true,okay,
MatchCellar-impossible,instance_03-cert-conv,shell-script,0.14,22372,true,okay,
MatchCellar-impossible,instance_03-muntac-cert-check,muntac,0.07,55060,true,okay,
MatchCellar-impossible,instance_03,tfd,0.05,15600,true,okay,
MatchCellar-impossible,instance_03,OPTIC,0.01,13220,true,okay,
MatchCellar-impossible,instance_03-ground,POPF,0.01,12420,true,okay,
MatchCellar-impossible,instance_04,tck-aLUcovreach,9.01,133132,true,okay,
MatchCellar-impossible,instance_04,tck-covreach,74.46,240276,true,okay,
MatchCellar-impossible,instance_04-ground,TAMER-ctp,,,false,out of time,|
MatchCellar-impossible,instance_04-ground,nuXmv,,,false,out of time,|
MatchCellar-impossible,instance_04-ground,UPPAAL,,,false,out of memory,|
MatchCellar-impossible,instance_04-cert-conv,shell-script,82.14,5977012,true,okay,
MatchCellar-impossible,instance_04-muntac-cert-check,muntac,76.77,32763084,true,okay,
MatchCellar-impossible,instance_04,tfd,0.28,39852,true,okay,
MatchCellar-impossible,instance_04,OPTIC,54.68,2378572,true,okay,
MatchCellar-impossible,instance_04-ground,POPF,58.80,2356788,true,okay,
MatchCellar-impossible,instance_05,tck-aLUcovreach,,,false,out of time,|
MatchCellar-impossible,instance_05,tck-covreach,,,false,out of time,|
MatchCellar-impossible,instance_05-ground,TAMER-ctp,,,false,out of time,|
MatchCellar-impossible,instance_05-ground,nuXmv,,,false,out of time,|
MatchCellar-impossible,instance_05-ground,UPPAAL,,,false,out of memory,|
MatchCellar-impossible,instance_05-cert-conv,shell-script,,,true,out of memory,
MatchCellar-impossible,instance_05-muntac-cert-check,muntac,,,,file missing,No certificate to check. Expected: ./muntax-dir/MatchCellar-impossible/instance_05.cert
MatchCellar-impossible,instance_05,tfd,162.95,2231504,true,okay,
MatchCellar-impossible,instance_05,OPTIC,,,false,out of time,|
MatchCellar-impossible,instance_05-ground,POPF,,,false,out of time,|
MatchCellar-impossible,instance_06,tck-aLUcovreach,,,false,out of time,|
MatchCellar-impossible,instance_06,tck-covreach,,,false,out of time,|
MatchCellar-impossible,instance_06-ground,TAMER-ctp,,,false,out of time,|
MatchCellar-impossible,instance_06-ground,nuXmv,,,false,out of time,|
MatchCellar-impossible,instance_06-ground,UPPAAL,,,false,out of memory,|
MatchCellar-impossible,instance_06-cert-conv,shell-script,,,true,out of memory,
MatchCellar-impossible,instance_06-muntac-cert-check,muntac,,,,file missing,No certificate to check. Expected: ./muntax-dir/MatchCellar-impossible/instance_06.cert
MatchCellar-impossible,instance_06,tfd,,,false,out of time,|
MatchCellar-impossible,instance_06,OPTIC,,,false,out of time,|
MatchCellar-impossible,instance_06-ground,POPF,,,false,out of time,|
MatchCellar-impossible,instance_07,tck-aLUcovreach,,,false,out of time,|
MatchCellar-impossible,instance_07,tck-covreach,,,false,out of time,|
MatchCellar-impossible,instance_07-ground,TAMER-ctp,,,false,out of time,|
MatchCellar-impossible,instance_07-ground,nuXmv,,,false,out of time,|
MatchCellar-impossible,instance_07-ground,UPPAAL,,,false,out of memory,|
MatchCellar-impossible,instance_07-cert-conv,shell-script,,,true,out of memory,
MatchCellar-impossible,instance_07-muntac-cert-check,muntac,,,,file missing,No certificate to check. Expected: ./muntax-dir/MatchCellar-impossible/instance_07.cert
MatchCellar-impossible,instance_07,tfd,,,false,out of time,|
MatchCellar-impossible,instance_07,OPTIC,,,false,out of time,|
MatchCellar-impossible,instance_07-ground,POPF,,,false,out of time,|
MatchCellar-impossible,instance_08,tck-aLUcovreach,,,false,out of time,|
MatchCellar-impossible,instance_08,tck-covreach,,,false,out of time,|
MatchCellar-impossible,instance_08-ground,TAMER-ctp,,,false,out of memory,|
MatchCellar-impossible,instance_08-ground,nuXmv,,,false,out of time,|
MatchCellar-impossible,instance_08-ground,UPPAAL,,,false,out of memory,|
MatchCellar-impossible,instance_08-cert-conv,shell-script,,,true,out of memory,
MatchCellar-impossible,instance_08-muntac-cert-check,muntac,,,,file missing,No certificate to check. Expected: ./muntax-dir/MatchCellar-impossible/instance_08.cert
MatchCellar-impossible,instance_08,tfd,,,false,out of time,|
MatchCellar-impossible,instance_08,OPTIC,,,false,out of time,|
MatchCellar-impossible,instance_08-ground,POPF,,,false,out of time,|
MatchCellar-impossible,instance_09,tck-aLUcovreach,,,false,out of time,|
MatchCellar-impossible,instance_09,tck-covreach,,,false,out of time,|
MatchCellar-impossible,instance_09-ground,TAMER-ctp,,,false,out of memory,|
MatchCellar-impossible,instance_09-ground,nuXmv,,,false,out of time,|
MatchCellar-impossible,instance_09-ground,UPPAAL,,,false,out of memory,|
MatchCellar-impossible,instance_09-cert-conv,shell-script,,,true,out of memory,
MatchCellar-impossible,instance_09-muntac-cert-check,muntac,,,,file missing,No certificate to check. Expected: ./muntax-dir/MatchCellar-impossible/instance_09.cert
MatchCellar-impossible,instance_09,tfd,,,false,out of time,|
MatchCellar-impossible,instance_09,OPTIC,,,false,out of time,|
MatchCellar-impossible,instance_09-ground,POPF,,,false,out of time,|
MatchCellar-impossible,instance_10,tck-aLUcovreach,,,false,out of memory,|
MatchCellar-impossible,instance_10,tck-covreach,,,false,out of memory,|
MatchCellar-impossible,instance_10-ground,TAMER-ctp,,,false,out of memory,|
MatchCellar-impossible,instance_10-ground,nuXmv,,,false,out of time,|
MatchCellar-impossible,instance_10-ground,UPPAAL,,,false,out of memory,|
MatchCellar-impossible,instance_10-cert-conv,shell-script,,,true,out of memory,
MatchCellar-impossible,instance_10-muntac-cert-check,muntac,,,,file missing,No certificate to check. Expected: ./muntax-dir/MatchCellar-impossible/instance_10.cert
MatchCellar-impossible,instance_10,tfd,,,false,out of time,|
MatchCellar-impossible,instance_10,OPTIC,,,false,out of time,|
MatchCellar-impossible,instance_10-ground,POPF,,,false,out of time,|
